quantite	jeu	n	rho	p	ic_lo	ic_hi	exclut_a20
pn_ps_term	13 lignees couvertes	13	-0.21428571428571427	0.4820544547023681	-0.6844582130574725	0.38177511902703326	True
pn_ps_term	bootstrap replicats (stabilite)	13	-0.23076923076923078		-0.32967032967032966	-0.13186813186813187	True
pi	13 lignees couvertes	13	-0.19780219780219782	0.5171309114848299	-0.6752000745045916	0.39638338493421715	True
pi	bootstrap replicats (stabilite)	13	-0.19780219780219782		-0.24175824175824176	-0.11538461538461539	True
Q4_pn_ps_term	ecart large/etroit (7/13)	13	0.5990786716686691	1.0			True
Q4_pn_ps_int	ecart large/etroit (7/13)	13	0.4210708871451664	1.0			True
Q4_pi	ecart large/etroit (13/13)	13	0.3305134914511594	0.000244140625			False
Q5_se_mediane	SE mediane / IQR	13	0.19032561377186782				True
Q6_partiel	S vs pN/pS | effectif	13	-0.38844149209960593	0.18963441740829304			False
puissance	rho vrai = -0.736	13	-0.7692307692307693	0.933			False
Lstar	tolerance 0.05	13	34.15644998609487				False
